id,tree_re,tree_im,ep0_re,ep0_im,epm1_re,epm1_im,epm2_re,epm2_im
121,4.44805459210499514e-003,-0.0000000000000000,-6.56715164428627908e-003,-3.96774561342967073e-003,-1.17237901064903361e-003,-3.49913638342538532e-004,-1.11380970394779052e-004,3.97042544756164667e-019
122,5.99732111572903823e-003,-0.0000000000000000,-8.75240113699681833e-003,-5.50927225385007546e-003,-1.58072102098664991e-003,-4.71789275163524797e-004,-1.50175190480358054e-004,1.98866693740169276e-018
123,8.39085230908022915e-003,-0.0000000000000000,-1.20993435545352947e-002,-7.89916362513851111e-003,-2.21158686906105118e-003,-6.60080401320629353e-004,-2.10110117418016695e-004,5.00296860878928702e-018
124,1.35725204699038756e-002,-0.0000000000000000,-1.93945078943594737e-002,-1.29911856848014713e-002,-3.57732527574338268e-003,-1.06770497546369858e-003,-3.39861049210742365e-004,-1.16630090277518298e-018
125,-1.13571012993250167e-004,0.0000000000000000,1.84335513979859585e-004,1.00954045488403825e-004,2.99340465106783874e-005,8.93425342969894840e-006,2.84386117720670112e-006,-1.00717577765064699e-017
126,-2.32881627278627717e-004,0.0000000000000000,3.38571671280701728e-004,2.07571716316806660e-004,6.13808860193974971e-005,1.83200219056482048e-005,5.83144408650139842e-006,-5.51781680501374930e-019
127,-3.52181081787852771e-004,0.0000000000000000,4.92227813142466042e-004,3.14918150108643095e-004,9.28247843478378497e-005,2.77049125998013052e-005,8.81874757534269031e-006,-4.25700579781840609e-019
128,-4.65813508738800958e-004,0.0000000000000000,6.37660385834181841e-004,4.18146114831792069e-004,1.22775017533880343e-004,3.66439971178015699e-005,1.16641465508491272e-005,-2.91740305701424944e-019
129,5.68238007455750525e-004,-0.0000000000000000,-7.67353627286988978e-004,-5.12505893727342905e-004,-1.49771163821428604e-004,-4.47013912529641542e-005,-1.42288947619411258e-005,2.90229113758459715e-019
130,6.54048647431472647e-004,-0.0000000000000000,-8.73943845256493993e-004,-5.93354697418902507e-004,-1.72388375707612337e-004,-5.14518284654248966e-005,-1.63776256626532503e-005,2.31685394587015107e-019
131,7.17990680995137182e-004,-0.0000000000000000,-9.50236962559586210e-004,-6.56161768285974277e-004,-1.89241653132661086e-004,-5.64819352548270580e-005,-1.79787583824266409e-005,2.65405405698037201e-019
132,7.54969069477259423e-004,-0.0000000000000000,-9.89213933355116790e-004,-6.96504987084397642e-004,-1.98988090728707628e-004,-5.93909019024301728e-005,-1.89047112248897163e-005,7.33000029362885757e-020
133,7.60044874884391905e-004,-0.0000000000000000,-9.84017826092530110e-004,-7.10053945064938511e-004,-2.00325926763878805e-004,-5.97901986061912617e-005,-1.90318113132206067e-005,1.34031721516616266e-019
