id,ct0_re,ct0_im
501,-1.00155e-3,-6.20943e-4
502,-1.35989e-3,-8.43108e-4
503,-1.59615e-3,-9.89585e-4
504,-1.69187e-3,-1.04893e-3
505,-1.63007e-3,-1.01061e-3
506,-1.39521e-3,-8.65006e-4
507,+9.73046e-4,+6.03271e-4
508,+3.50363e-4,+2.17219e-4
509,+4.85390e-4,+3.00933e-4
510,+1.54670e-3,+9.58925e-4
511,+2.84686e-3,+1.76500e-3
512,+4.40125e-3,+2.72870e-3
513,+6.22932e-3,+3.86207e-3
514,+8.35752e-3,+5.18151e-3
515,+1.08240e-2,+6.71071e-3
516,+1.36866e-2,+8.48545e-3
517,+1.70360e-2,+1.05620e-2
518,+2.10207e-2,+1.30324e-2
519,+2.58966e-2,+1.60554e-2
520,+3.21351e-2,+1.99232e-2
521,+4.06931e-2,+2.52290e-2
522,+5.38217e-2,+3.33685e-2
523,+7.82988e-2,+4.85438e-2
524,+1.48047e-1,+9.17867e-2
525,-6.69271e-4,-4.14936e-4
526,-1.23311e-3,-7.64504e-4
527,-1.66547e-3,-1.03256e-3
528,-1.94214e-3,-1.20409e-3
529,-2.04075e-3,-1.26523e-3
530,-1.94078e-3,-1.20325e-3
531,-1.62345e-3,-1.00651e-3
532,-1.07154e-3,-6.64333e-4
533,+2.69095e-4,+1.66834e-4
534,+7.99093e-4,+4.95423e-4
535,+2.14825e-3,+1.33188e-3
536,+3.79472e-3,+2.35266e-3
537,+5.75762e-3,+3.56962e-3
538,+8.06136e-3,+4.99790e-3
539,+1.07394e-2,+6.65823e-3
540,+1.38403e-2,+8.58075e-3
541,+1.74378e-2,+1.08111e-2
542,+2.16478e-2,+1.34212e-2
543,+2.66605e-2,+1.65290e-2
544,+3.28035e-2,+2.03376e-2
545,+4.06810e-2,+2.52215e-2
546,+5.15197e-2,+3.19413e-2
547,+6.82071e-2,+4.22871e-2
548,+9.94400e-2,+6.16510e-2
549,+1.88759e-1,+1.17027e-1
550,-8.83056e-4,-5.47479e-4
551,-1.61973e-3,-1.00421e-3
552,-2.17634e-3,-1.34929e-3
553,-2.52154e-3,-1.56331e-3
554,-2.62644e-3,-1.62834e-3
555,-2.46454e-3,-1.52797e-3
556,-2.01164e-3,-1.24718e-3
557,-1.24554e-3,-7.72211e-4
558,+1.45651e-4,+9.03008e-5
559,+1.30772e-3,+8.10765e-4
560,+3.13441e-3,+1.94328e-3
561,+5.35590e-3,+3.32056e-3
