0_5_re,integrand_re,0_2_im,0_4_re,0_0_re,rescaled_integrand_re,rescaled_integrand_im,0_5_im,0_3_re,0_1_im,deform_jac_im,0_3_im,0_0_im,param_jac,0_1_re,integrand_im,deform_jac_re,0_4_im,0_2_re
0.0,-0.5943683371542186,0.0,0.0,2561.7849078950076,-7.529588198663683e-08,-1.377716005394092e-10,0.0,0.0,5643.323751037375,-5.96490849950454e-10,0.0,-5643.323751112668,1.5882357053699313e+30,-2561.7849078608297,-0.26976384925428776,1.0,0.0,0.0
0.0,-0.5943580927840736,0.0,0.0,1807.288548485336,-1.0672810112848776e-07,-1.9530230168792053e-10,0.0,0.0,3981.2533503934073,-8.455103669295667e-10,0.0,-3981.2533505001347,3.934182093807658e+29,-1807.2885484368896,-0.2697841086538117,1.0,0.0,0.0
0.0,-0.5943586589766712,0.0,0.0,1275.0062824586273,-1.5128441647864108e-07,-2.7683800133693556e-10,0.0,0.0,2808.6955399623926,-1.1984890969802283e-09,0.0,-2808.695540113675,9.745272887463282e+28,-1275.006282389956,-0.2697861868648373,1.0,0.0,0.0
0.0,-0.5943525166255925,0.0,0.0,899.4916664833819,-2.1443942812695475e-07,-3.9243245870391004e-10,0.0,0.0,1981.4791850076515,-1.6988273242898479e-09,0.0,-1981.4791852220908,2.413979713725294e+28,-899.491666386042,-0.2698012714849176,1.0,0.0,0.0
0.0,-0.5943548816431259,0.0,0.0,634.5735286461415,-3.0396334289710226e-07,-5.562466665498482e-10,0.0,0.0,1397.8944001894433,-2.408043829350403e-09,0.0,-1397.8944004934058,5.979616312007291e+27,-634.5735285081646,-0.26979360324272184,1.0,0.0,0.0
0.0,-0.5943527538337616,0.0,0.0,447.67901949266997,-4.308582094486081e-07,-7.884684978845923e-10,0.0,0.0,986.1868711567238,-3.4133398907801333e-09,0.0,-986.1868715875826,1.481198107312565e+27,-447.6790192970912,-0.2697949761854377,1.0,0.0,0.0
0.0,-0.5943543361272192,0.0,0.0,315.82863793654417,-6.107311352865972e-07,-1.117629428028126e-09,0.0,0.0,695.7353482347528,-4.838321062838054e-09,0.0,-695.735348845484,3.669046039111673e+26,-315.8286376593164,-0.2697943236346691,1.0,0.0,0.0
0.0,-0.5943557834685731,0.0,0.0,222.8108003286898,-8.656959643588809e-07,-1.5842071166274234e-09,0.0,0.0,490.82754068703264,-6.8581950154772625e-09,0.0,-490.8275415527285,9.088525549179165e+25,-222.81079993572672,-0.2697942348046721,1.0,0.0,0.0
0.0,-0.5943574789643054,0.0,0.0,157.18855474730054,-1.2271016496005595e-06,-2.245573385117252e-09,0.0,0.0,346.26913306187697,-9.721314071534252e-09,0.0,-346.2691342889785,2.251303620593332e+25,-157.1885541902858,-0.2697950947913223,1.0,0.0,0.0
0.0,-0.5943598545158003,0.0,0.0,110.89335776922977,-1.7393847764804496e-06,-3.183038384508734e-09,0.0,0.0,244.2860339856843,-1.3779711190001055e-08,0.0,-244.28603572506907,5.576673601127148e+24,-110.89335697967628,-0.2697958617229432,1.0,0.0,0.0
